title,summary,published,links,source
Jessica Simpson’s ex-husband Nick Lachey says he won’t ever read her memoir: ‘I lived it’,"The “Alter Ego” judge, 41, told Andy Cohen on SiriusXM’s “Radio Andy” that while he knew his ex-wife’s autobiography would be dropping, “you’ll be shocked to hear that I have not [read it] nor will I ever read it.”","Tue, 02 Nov 2021 23:43:25 GMT","[{'rel': 'alternate', 'type': 'text/html', 'href': 'https://www.foxnews.com/entertainment/jessica-simpson-ex-husband-nick-lachey-memoir'}]",fox news
Minneapolis police department referendum: Multiple carjackings in 90 minute period day before crucial vote,"Just one day before a pivotal vote on the future of the city's police department, six total carjackings and attempted carjackings occurred within a 90 minute period.","Tue, 02 Nov 2021 23:38:45 GMT","[{'rel': 'alternate', 'type': 'text/html', 'href': 'https://www.foxnews.com/us/minneapolis-police-department-referendum-multiple-carjackings-in-90-minute-period-day-before-crucial-vote'}]",fox news
MSNBC's Andrea Mitchell calls Youngkin 'textbook case' of dishonest culture warrior,MSNBC’s Andrea Mitchell labels Republican Virginia governor candidate Glenn Youngkin as “textbook case” of a dishonest politician for opposing critical race theory curricula in schools.,"Tue, 02 Nov 2021 23:32:58 GMT","[{'rel': 'alternate', 'type': 'text/html', 'href': 'https://www.foxnews.com/media/msnbc-andrea-mitchell-calls-youngkin-textbook-case-of-dishonest-culture-warrior'}]",fox news
Clay Travis goes after Colin Kaepernick Netflix special: It's clear his brain is 'totally broken',Outkick founder Clay Travis obliterated NFL quarterback Colin Kaepernick on Tuesday for comparing the NFL Draft process and training camp to slavery in his new Netflix special.,"Tue, 02 Nov 2021 23:30:56 GMT","[{'rel': 'alternate', 'type': 'text/html', 'href': 'https://www.foxnews.com/media/clay-travis-colin-kaepernick-netflix-special-slavery'}]",fox news
College teams receive waivers for Election Day practice,"A year after the NCAA gave athletes Election Day off, football teams all over the country were practicing on the first Tuesday in November.","Tue, 02 Nov 2021 23:28:46 GMT","[{'rel': 'alternate', 'type': 'text/html', 'href': 'https://www.foxnews.com/sports/college-teams-receive-waivers-election-day-practice'}]",fox news
"Odell Beckham Jr.'s dad rips Baker Mayfield amid trade rumors, LeBron James tweets out support: '#FreeOBJ'","Many think Odell Beckham Jr.’s skill set has diminished since joining the Cleveland Browns, but the tape says otherwise, as does the superstar wide receiver’s father.","Tue, 02 Nov 2021 23:17:11 GMT","[{'rel': 'alternate', 'type': 'text/html', 'href': 'https://www.foxnews.com/sports/odell-beckham-jrs-dad-rips-baker-mayfield-trade-rumors-lebron-james-tweets'}]",fox news
Gutfeld: Leftists realize now how far they have gone,"Greg Gutfeld said, 'The Democrats and the media got caught by surprise by the real things that matter to American parents'","Tue, 02 Nov 2021 23:17:10 GMT","[{'rel': 'alternate', 'type': 'text/html', 'href': 'https://www.foxnews.com/media/critical-race-theory-the-five-glenn-youngkin-terry-mcauliffe'}]",fox news
Former USC coach Clay Helton hired to helm Georgia Southern,"Georgia Southern hired former Southern California coach Clay Helton on Tuesday, seven weeks after USC fired him.","Tue, 02 Nov 2021 23:16:52 GMT","[{'rel': 'alternate', 'type': 'text/html', 'href': 'https://www.foxnews.com/sports/former-usc-coach-clay-helton-hired-to-helm-georgia-southern'}]",fox news
Fox News Voter Analysis on Virginia governor's race,"Read to see Virginia voters' reactions to candidates Terry McAuliffe and Glenn Youngkin, along with the state's important issues.","Tue, 02 Nov 2021 23:13:35 GMT","[{'rel': 'alternate', 'type': 'text/html', 'href': 'https://www.foxnews.com/politics/fox-news-voter-analysis-virginia-governors-race'}]",fox news
Christopher Rufo says the fiery education debate will go far beyond Virginia,"Manhattan Institute senior fellow Christopher Rufo, who has become a national figure for putting a spotlight on the critical race theory ideology that has emerged in schools and institutions across the country, is confident that the impassioned debate over education will go far beyond the Virginia gubernatorial race.","Tue, 02 Nov 2021 23:09:25 GMT","[{'rel': 'alternate', 'type': 'text/html', 'href': 'https://www.foxnews.com/media/christopher-rufo-education-virginia'}]",fox news
