title,summary,published,links,source
Senate votes to send tech exec David Cohen to Ottawa as Biden’s U.S. envoy,,"Tue, 2 Nov 2021 19:37:54 EDT","[{'rel': 'alternate', 'type': 'text/html', 'href': 'https://www.thestar.com/politics/2021/11/02/senate-votes-to-send-tech-exec-david-cohen-to-ottawa-as-bidens-us-envoy.html'}]",thestar news
Ontario will unveil its plan for COVID-19 booster shots on Wednesday,"Ontario will unveil its plan for more COVID-19 booster shots Wednesday, clearing the way for AstraZeneca recipients and others to get top-ups as the province continues efforts to get more first and second doses into arms.","Tue, 2 Nov 2021 18:18:00 EDT","[{'rel': 'alternate', 'type': 'text/html', 'href': 'https://www.thestar.com/politics/provincial/2021/11/02/ontario-will-unveil-its-plan-for-covid-19-booster-shots-on-wednesday.html'}]",thestar news
"No ‘euthanasia’ in Quebec care homes during COVID-19, expert tells coroner’s inquest",,"Tue, 2 Nov 2021 17:39:06 EDT","[{'rel': 'alternate', 'type': 'text/html', 'href': 'https://www.thestar.com/politics/2021/11/02/no-euthanasia-in-quebec-care-homes-during-covid-19-expert-tells-coroners-inquest.html'}]",thestar news
A look at minimum wage rates across Canadian provinces and territories,,"Tue, 2 Nov 2021 17:27:56 EDT","[{'rel': 'alternate', 'type': 'text/html', 'href': 'https://www.thestar.com/politics/2021/11/02/a-look-at-minimum-wage-rates-across-canadian-provinces-and-territories.html'}]",thestar news
Heather Scoffield: Can Justin Trudeau spread Canada’s carbon price and help save the world?,"Justin Trudeau has decided to make his mark on the world by trying to take Canada’s controversial carbon tax global. It’s an intriguing idea, Heather Scoffield writes.","Tue, 2 Nov 2021 17:08:00 EDT","[{'rel': 'alternate', 'type': 'text/html', 'href': 'https://www.thestar.com/politics/political-opinion/2021/11/02/can-justin-trudeau-spread-canadas-carbon-price-and-help-save-the-world.html'}]",thestar news
PM says Indigenous talks may offer ‘solution’ so Canada can honour war dead,,"Tue, 2 Nov 2021 16:00:29 EDT","[{'rel': 'alternate', 'type': 'text/html', 'href': 'https://www.thestar.com/politics/2021/11/02/pm-says-indigenous-talks-may-offer-solution-so-canada-can-honour-war-dead.html'}]",thestar news
"Kabul safe houses need $5 million by Friday to stay open, say veterans",,"Tue, 2 Nov 2021 15:19:43 EDT","[{'rel': 'alternate', 'type': 'text/html', 'href': 'https://www.thestar.com/politics/2021/11/02/kabul-safe-houses-need-5-million-by-friday-to-stay-open-say-veterans.html'}]",thestar news
Ex-soldier who killed his family in N.S. knew what he did was morally wrong: doctor,,"Tue, 2 Nov 2021 13:32:34 EDT","[{'rel': 'alternate', 'type': 'text/html', 'href': 'https://www.thestar.com/politics/2021/11/02/ex-soldier-who-killed-his-family-in-ns-knew-what-he-did-was-morally-wrong-doctor.html'}]",thestar news
"As trade bottlenecks weigh on economy, Liberals urged to help reshape supply chains",,"Tue, 2 Nov 2021 13:07:11 EDT","[{'rel': 'alternate', 'type': 'text/html', 'href': 'https://www.thestar.com/politics/2021/11/02/as-trade-bottlenecks-weigh-on-economy-liberals-urged-to-help-reshape-supply-chains.html'}]",thestar news
B.C. Premier John Horgan working virtually after throat biopsy,,"Tue, 2 Nov 2021 12:45:25 EDT","[{'rel': 'alternate', 'type': 'text/html', 'href': 'https://www.thestar.com/politics/2021/11/02/bc-premier-john-horgan-working-virtually-after-throat-biopsy.html'}]",thestar news
