title,summary,published,links,source
Black voters in Virginia refuse to be blamed for a major Democratic defeat.,Black state leaders and voters said the results were a sign that the party could not rely on minority voters to cover its cratering totals in white areas of the state.,"Wed, 03 Nov 2021 16:03:56 +0000","[{'rel': 'alternate', 'type': 'text/html', 'href': 'https://www.nytimes.com/2021/11/03/us/politics/black-voters-in-virginia-refuse-to-be-blamed-for-a-major-democratic-defeat.html'}, {'href': 'https://www.nytimes.com/2021/11/03/us/politics/black-voters-in-virginia-refuse-to-be-blamed-for-a-major-democratic-defeat.html', 'rel': 'standout', 'type': 'text/html'}]",nytimes news
Eric Adams's Style: ‘Everything About You Must Say Power’,"New York City’s new mayor, Eric Adams, pays a lot of attention to what he wears. You should, too.","Wed, 03 Nov 2021 13:48:27 +0000","[{'rel': 'alternate', 'type': 'text/html', 'href': 'https://www.nytimes.com/2021/11/03/style/eric-adams-style.html'}, {'href': 'https://www.nytimes.com/2021/11/03/style/eric-adams-style.html', 'rel': 'standout', 'type': 'text/html'}]",nytimes news
What Youngkin's Win in the Virginia Governor Race Means for Democrats,"Less than a year after taking power in Washington, the party faces a grim immediate future, struggling to energize voters without a presidential foil and losing messaging wars to Republicans.","Wed, 03 Nov 2021 15:44:25 +0000","[{'rel': 'alternate', 'type': 'text/html', 'href': 'https://www.nytimes.com/2021/11/03/us/politics/democrats-virginia-governor-race.html'}, {'href': 'https://www.nytimes.com/2021/11/03/us/politics/democrats-virginia-governor-race.html', 'rel': 'standout', 'type': 'text/html'}]",nytimes news
Eric Adams Is Elected Mayor of New York City,"Mr. Adams, a Democrat and former police captain, will be the second Black mayor in the city’s history.","Wed, 03 Nov 2021 15:11:46 +0000","[{'rel': 'alternate', 'type': 'text/html', 'href': 'https://www.nytimes.com/2021/11/02/nyregion/eric-adams-mayor.html'}, {'href': 'https://www.nytimes.com/2021/11/02/nyregion/eric-adams-mayor.html', 'rel': 'standout', 'type': 'text/html'}]",nytimes news
Holocaust Scholar to Testify at Charlottesville Trial,"In a Charlottesville courtroom, Deborah E. Lipstadt will testify to the persistence of antisemitism, and its links to present-day politics.","Tue, 02 Nov 2021 23:55:08 +0000","[{'rel': 'alternate', 'type': 'text/html', 'href': 'https://www.nytimes.com/2021/11/02/us/politics/charlottesville-trial-holocaust.html'}, {'href': 'https://www.nytimes.com/2021/11/02/us/politics/charlottesville-trial-holocaust.html', 'rel': 'standout', 'type': 'text/html'}]",nytimes news
C.D.C. Recommends Covid Vaccine for Younger Children,"With the agency director’s sign-off, children ages 5 to 11 could begin to receive the shots this week.","Wed, 03 Nov 2021 00:45:34 +0000","[{'rel': 'alternate', 'type': 'text/html', 'href': 'https://www.nytimes.com/2021/11/02/health/covid-vaccine-children-cdc.html'}, {'href': 'https://www.nytimes.com/2021/11/02/health/covid-vaccine-children-cdc.html', 'rel': 'standout', 'type': 'text/html'}]",nytimes news
Supreme Court Hears Free Speech Case on Politician’s Censure,The justices seemed inclined to find a narrow way to reject the argument that the censure of an elected official in Houston ran afoul of the First Amendment.,"Tue, 02 Nov 2021 23:10:24 +0000","[{'rel': 'alternate', 'type': 'text/html', 'href': 'https://www.nytimes.com/2021/11/02/us/politics/supreme-court-free-speech-censure.html'}, {'href': 'https://www.nytimes.com/2021/11/02/us/politics/supreme-court-free-speech-censure.html', 'rel': 'standout', 'type': 'text/html'}]",nytimes news
Democrats Push for Agreement on Tax Deduction That Benefits the Rich,"Lawmakers are coalescing around a deal to suspend a $10,000 cap on state and local tax deductions that was imposed during the Trump administration.","Tue, 02 Nov 2021 22:38:37 +0000","[{'rel': 'alternate', 'type': 'text/html', 'href': 'https://www.nytimes.com/2021/11/02/us/politics/salt-cap-tax-deduction.html'}, {'href': 'https://www.nytimes.com/2021/11/02/us/politics/salt-cap-tax-deduction.html', 'rel': 'standout', 'type': 'text/html'}]",nytimes news
Military Grants Few Coronavirus Vaccine Exemptions as Deadlines Loom,"The majority of active-duty troops have gotten a mandatory coronavirus vaccine ahead of deadline, with religious-based exemptions largely dismissed.","Wed, 03 Nov 2021 00:14:55 +0000","[{'rel': 'alternate', 'type': 'text/html', 'href': 'https://www.nytimes.com/2021/11/02/us/politics/vaccine-military-army.html'}, {'href': 'https://www.nytimes.com/2021/11/02/us/politics/vaccine-military-army.html', 'rel': 'standout', 'type': 'text/html'}]",nytimes news
"Biden Tries to Reassert American Leadership, and His Own","President Biden hoped his personal style of politicking could help him build global consensus on fighting climate change. But as he has learned in Washington, charm offensives have their limits.","Wed, 03 Nov 2021 09:06:31 +0000","[{'rel': 'alternate', 'type': 'text/html', 'href': 'https://www.nytimes.com/2021/11/02/us/politics/biden-cop26.html'}, {'href': 'https://www.nytimes.com/2021/11/02/us/politics/biden-cop26.html', 'rel': 'standout', 'type': 'text/html'}]",nytimes news
