title,summary,published,links,source
Ottawa resident charged in connection with 1989 sexual assault in Vancouver,"Investigators used new evidence in 2017 to track a 55-year-old man now living in Ottawa, and he was arrested in October.","Tue, 02 Nov 2021 23:43:48 +0000","[{'rel': 'alternate', 'type': 'text/html', 'href': 'https://ottawacitizen.com/news/national/ottawa-resident-charged-in-connection-with-1989-sexual-assault-in-vancouver'}]",ottawacitizen news
Montfort Hospital and Wabano Centre team up to improve Indigenous health care,A memorandum of understanding will get the two organizations working together to find gaps in service and taking steps to improve it.,"Tue, 02 Nov 2021 22:26:04 +0000","[{'rel': 'alternate', 'type': 'text/html', 'href': 'https://ottawacitizen.com/news/local-news/montfort-hospital-and-wabano-centre-team-up-to-improve-indigenous-health-care'}]",ottawacitizen news
Do the feds have a responsibility to help Ottawa's downtown economy recover?,The question came up Tuesday after a presentation by the Ottawa Board of Trade at a meeting of city council's finance and economic development committee.,"Tue, 02 Nov 2021 22:00:41 +0000","[{'rel': 'alternate', 'type': 'text/html', 'href': 'https://ottawacitizen.com/news/local-news/do-the-feds-have-a-responsibility-to-help-ottawas-downtown-economy-recover'}]",ottawacitizen news
COVID-19: Ontario reports 331 new cases; 20 reported in Ottawa; 87 per cent of Ottawans 12 and older fully vaccinated,"Ontario reported 331 new COVID-19 cases Tuesday, with 195 cases in people who are not fully vaccinated or whose vaccination status is unknown, and 136 in fully vaccinated people. The seven-day average for new cases now sits at 371, up slightly from 364 a week ago, and down from 576 at this time last month. […]","Tue, 02 Nov 2021 21:57:28 +0000","[{'rel': 'alternate', 'type': 'text/html', 'href': 'https://ottawacitizen.com/news/local-news/covid-19-ontario-reports-331-new-cases-about-8-6-per-cent-of-city-workers-unvaccinated-or-hadnt-disclosed-status-as-of-friday'}]",ottawacitizen news
"Quebec ski lodges, full lifts open to vaccinated",The Quebec Ski Areas Association said the province's ski hills will operate lifts with full capacity.,"Tue, 02 Nov 2021 21:53:24 +0000","[{'rel': 'alternate', 'type': 'text/html', 'href': 'https://ottawacitizen.com/news/quebec-ski-lodges-full-lifts-open-to-vaccinated'}]",ottawacitizen news
OPP investigate fatal crash near Smiths Falls,"An investigation continues into a fatal collision early Tuesday on Highway 43 southeast of Smiths Falls. Ontario Provincial Police said the crash, near Rainbow Valley Drive, involved a car and a dump truck. The driver in the car was killed, while the dump truck driver was taken to hospital with non-life-threatening injuries. Emergency crews were […]","Tue, 02 Nov 2021 21:50:41 +0000","[{'rel': 'alternate', 'type': 'text/html', 'href': 'https://ottawacitizen.com/news/local-news/opp-investigates-fatal-crash-near-smiths-falls'}]",ottawacitizen news
"As preparations for children's vaccines ramp up, so do anti-vax attacks against some",The imminent vaccination campaign of children between five and 11 has ramped up anti-vaccine sentiment and vitriol among some.,"Tue, 02 Nov 2021 21:45:18 +0000","[{'rel': 'alternate', 'type': 'text/html', 'href': 'https://ottawacitizen.com/news/local-news/as-preparations-for-childrens-vaccines-ramp-up-so-do-anti-vax-attacks-against-some'}]",ottawacitizen news
"Kingston police officer chases down, catches man on dirt bike during theft","Throttle Powersports had more than $50,000 worth of merchandise taken from the business over the weekend, despite a Kingston Police officer tackling a thief off one of the company’s dirt bikes as it was being driven away early Monday morning. Rick Voskamp, general manager of the store that specializes in recreational vehicles including dirt bikes, […]","Tue, 02 Nov 2021 20:10:29 +0000","[{'rel': 'alternate', 'type': 'text/html', 'href': 'https://ottawacitizen.com/news/local-news/kingston-police-officer-chases-down-catches-man-on-dirt-bike-during-theft'}]",ottawacitizen news
"Police seek man, 46, missing since Friday","Ottawa police are seeking public assistance in locating John Cox, 46, last seen Oct. 29 at about 12 p.m. in the 3500 block of Woodroffe Avenue. His family is concerned about his well-being, police said. Cox is described as Caucasian, about five feet six inches (168 cm) tall with an athletic build. He has short, […]","Tue, 02 Nov 2021 20:08:11 +0000","[{'rel': 'alternate', 'type': 'text/html', 'href': 'https://ottawacitizen.com/news/local-news/police-seek-man-missing-since-friday'}]",ottawacitizen news
Best: Why the Bank of Canada should go slow on raising interest rates,"Yes, there is huge uncertainty surrounding the future trajectory of inflation. The global economy has never been through a COVID pandemic before. But that uncertainty doesn’t justify a return to knee-jerk anti-inflation arguments.","Tue, 02 Nov 2021 19:01:08 +0000","[{'rel': 'alternate', 'type': 'text/html', 'href': 'https://ottawacitizen.com/opinion/best-why-the-bank-of-canada-should-go-slow-on-raising-interest-rates'}]",ottawacitizen news
